#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,xorg-server,"is the graphical server."
,xorg-xwininfo,"allows querying information about windows."
,xorg-xinit,"starts the graphical server."
,sxhkd,"binds key."
,ttf-inconsolata,"is the monospace font of LARBS"
,ttf-linux-libertine,"provides the sans and serif fonts for LARBS."
,ttf-font-awesome,"provides special characters used in the status bar and elsewhere."
A,lf-bin,"is an extensive terminal file manager that everyone likes."
,arandr,"is a UI for screen adjustment."
,calcurse,"is a lightweight terminal-based calendar."
,xcompmgr,"is for transparency and removing screen-tearing."
,xorg-xprop,"is a tool for detecting window properties."
,libnotify,"allows desktop notifications."
,dunst,"is a suckless notification system."
,sxiv,"is a minimalist image viewer."
,xwallpaper,"sets the wallpaper."
,ffmpeg,"can record and splice video and audio on the command line."
,neovim,"an tidier vim with some useful features"
,python-neovim,"is the python lib for neovim"
,mopidy,"is a lightweight music daemon."
A,mopidy-soundcloud,"is a mopidy plugin for soundcloud."
A,mopidy-podcast,"is a mopidy plugin for podcasts."
A,mopidy-tunein,"is a mopidy plugin for radio."
,mpc,"is a terminal interface for mopidy and mpd."
,mpv,"is the patrician's choice video player."
,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor."
,newsboat,"is a terminal RSS client."
,notmuch,"is an email indexer."
,firefox,"is the only program on LARBS your girlfriend has ever heard of."
A,ttf-emojione,"is a package that gives the system unicode symbols and emojis used in the status bar and elsewhere."
A,ttf-symbola,"provides unicode and emoji symbols."
,alsa-utils,"is a package of audio utilities."
A,sc-im,"is an Excel-like terminal spreadsheet manager."
A,htop-vim-git,"provides system usage information and displays processes."
,maim,"can take quick screenshots at your request."
,socat,"is a socket utility."
,slock,"is a minimal lockscreen."
,tmux,"is a terminal multiplexer"
,unclutter,"hides an inactive mouse."
,unrar,"extracts rar's."
,unzip,"unzips zips."
A,urlscan,"parses URLs in the terminal allowing keyboard-based selection."
,w3m,"is a terminal browser which can also view images."
,xcape,"gives the special escape/super mappings of LARBS."
,xclip,"allows for copying and pasting from the command line."
,xdotool,"provides window action utilities on the command line."
,xorg-xdpyinfo,"aids with resolution determination and screen recording."
,youtube-dl,"can download any YouTube video (or playlist or channel) when given the link."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-djvu,"gives zathura the ability to read .djvu files."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,mediainfo,"shows audio and video information and is used by vifm as well."
,atool,"manages and gives information about archives."
,fzf,"is a fuzzy finder tool."
,highlight,"can highlight code output."
,wget,"is a tool for simply downloading files."
,pass,"is a simple password manager."
,unison,"is a bidirectional file sync tool."
,xorg-xbacklight,"enables changing screen brightness levels."
,xorg-xsetroot,"sets status bar and other X properties."
,xorg-xkill,"kills a client by its X resource (clicking it)."
,openssh,"does ssh-y stuff. Needed to run ssh-agent on xinit."
A,ts,"queues commands or files for download."
,qutebrowser,"is a keyboard-focused web browser based on Python"
,cronie,"is a cronjob manager"
G,https://github.com/lukesmithxyz/dmenu,"runs commands and provides a UI for selection."
G,https://github.com/lukesmithxyz/st,"is my custom build of suckless's terminal emulator."
,tabbed,"allows tabbing other programs like the terminal or the browser."
G,https://github.com/lukesmithxyz/surf,"is the suckless web browser."
G,https://github.com/ghomasHudson/dwm,"is the window manager."
A,zotero,"is a citation manager."
A,mutt-wizard-git,"is a simple interface to auto-configure neomutt and isync with safe passwords."
A,gitkracken,"is an intuative, fast, and beautiful cross-platform Git client."
,texlive-most,"is a package group for LaTeX."
A,texlive-localmanager-git,"is the arch version of the LaTeX package manager."
A,weechat-python3-git,"is a IRC program with Slack intergration."
G,https://github.com/hoijui/sent,"is a simple plaintext presentation tool"
